user_id,posted,item_id,helpful,recommend,sentiment_analysis,sentiment_label
sad-commie,"Posted July 9, 2014.",212070,3 of 5 people (60%) found this review helpful,True,0.7184,2
76561198030567998,"Posted July 21, 2015.",319630,1 of 2 people (50%) found this review helpful,True,0.9922,2
76561198010674657,Posted January 15.,440,No ratings yet,True,-0.9085,0
Coldaniel,"Posted August 21, 2014.",440,1 of 1 people (100%) found this review helpful,True,0.0762,1
therealmorty,"Posted March 7, 2015.",212680,No ratings yet,True,-0.5106,0
YoHuNz,"Posted February 19, 2014.",570,1 of 1 people (100%) found this review helpful,True,0.0,1
possessioniskey,"Posted December 24, 2015.",440,No ratings yet,True,0.9539,2
76561198081962345,"Posted April 5, 2014.",1250,No ratings yet,True,0.0,1
Nozomikat,"Posted August 1, 2014.",264200,4 of 4 people (100%) found this review helpful,True,0.0,1
xfluttersx,Posted September 14.,202530,1 of 1 people (100%) found this review helpful,False,0.7609,2
ii_voltage_ii,"Posted April 11, 2015.",339280,2 of 5 people (40%) found this review helpful,True,0.9612,2
76561198097762318,"Posted December 26, 2014.",233150,No ratings yet,True,0.0,1
StelerForYou,"Posted December 29, 2013.",211820,No ratings yet,True,0.9805,2
Xx-Woods,"Posted January 26, 2015.",224260,No ratings yet,True,0.5106,2
kevinator23,"Posted September 6, 2015.",8850,1 of 1 people (100%) found this review helpful,True,0.9657,2
76561198090715178,"Posted July 9, 2014.",304930,No ratings yet,True,0.0,1
CatsWhale,"Posted August 29, 2015.",388520,No ratings yet,True,0.926,2
76561198073784601,Posted July 8.,299740,0 of 18 people (0%) found this review helpful,False,-0.4215,0
76561198027947401,Posted February 20.,304050,1 of 3 people (33%) found this review helpful,True,0.5859,2
Bluezap1,"Posted May 13, 2015.",730,1 of 1 people (100%) found this review helpful,True,0.296,2
Lord_Exploit,"Posted January 7, 2015.",322170,No ratings yet,True,0.9382,2
AVATAR715,"Posted November 18, 2015.",440,1 of 1 people (100%) found this review helpful,True,0.8051,2
A-Very-Sly-Person,"Posted November 11, 2014.",440,No ratings yet,True,0.5859,2
76561198211054671,Posted July 3.,333930,No ratings yet,True,-0.5106,0
76561197994493402,"Posted March 1, 2015.",264200,No ratings yet,True,0.7239,2
97396295,"Posted June 17, 2014.",243870,3 of 6 people (50%) found this review helpful,True,0.8885,2
76561198126640317,"Posted February 14, 2015.",221100,1 of 3 people (33%) found this review helpful,True,0.8402,2
DemonicWolvz,"Posted April 29, 2015.",232090,No ratings yet,True,0.8979,2
DieMadchenschanderin,"Posted October 5, 2015.",380770,0 of 5 people (0%) found this review helpful,False,-0.6985,0
GGargula,"Posted November 23, 2015.",233250,2 of 5 people (40%) found this review helpful,True,0.0,1
getf0kinn0sc0pedm9,Posted June 26.,440,No ratings yet,False,-0.5719,0
Magjiikal,"Posted December 17, 2015.",313740,1 of 2 people (50%) found this review helpful,True,0.8402,2
ohnospaghet,"Posted September 30, 2014.",440,1 of 1 people (100%) found this review helpful,True,0.8979,2
2768820078,Posted April 19.,730,2 of 2 people (100%) found this review helpful,False,0.0,1
76561198056392326,Posted January 30.,219640,No ratings yet,False,0.0,1
2d4nk4m3,"Posted March 18, 2014.",47410,No ratings yet,True,0.2263,2
EizanAratoFujimaki,Posted April 15.,359550,3 of 9 people (33%) found this review helpful,False,-0.4019,0
TeCool,"Posted December 6, 2014.",202090,1 of 2 people (50%) found this review helpful,True,-0.9084,0
2xDelorean,"Posted July 26, 2013.",212680,No ratings yet,True,0.8074,2
washington_,Posted August 19.,4000,0 of 1 people (0%) found this review helpful,True,0.4927,2
76561198088944293,Posted July 14.,107410,0 of 1 people (0%) found this review helpful,True,0.4215,2
76561198092540221,"Posted June 29, 2015.",620,No ratings yet,True,0.5106,2
Pyromanic,"Posted February 15, 2013.",4000,1 of 1 people (100%) found this review helpful,True,0.6249,2
WitchHunter4542,"Posted January 13, 2015.",237310,No ratings yet,True,0.3582,2
pwrt,"Posted January 20, 2014.",440,2 of 2 people (100%) found this review helpful,True,0.5719,2
76561198043458582,"Posted May 26, 2015.",221100,1 of 3 people (33%) found this review helpful,True,0.5994,2
killbunny38,"Posted August 20, 2015.",333930,No ratings yet,False,0.0232,1
1337lolroflmao,"Posted October 1, 2014.",218620,1 of 2 people (50%) found this review helpful,True,-0.5859,0
OzfurAtlas,Posted September 12.,4700,2 of 2 people (100%) found this review helpful,True,0.1531,2
76561198065593074,Posted June 25.,730,No ratings yet,False,-0.2467,0
76561198044169764,"Posted July 22, 2015.",355180,0 of 1 people (0%) found this review helpful,False,-0.4215,0
76561198074935997,Posted May 13.,365590,4 of 4 people (100%) found this review helpful,False,0.0,1
76561198016602703,Posted July 23.,433340,No ratings yet,True,0.4572,2
76561198061174192,"Posted September 14, 2014.",242760,No ratings yet,True,0.6705,2
76561198084390807,"Posted May 10, 2014.",252490,No ratings yet,True,0.6369,2
Mastic,Posted June 29.,297130,8 of 10 people (80%) found this review helpful,True,0.9871,2
tarjla,"Posted July 13, 2014.",304930,4 of 5 people (80%) found this review helpful,True,0.9483,2
deathnz1,Posted July 16.,322910,3 of 6 people (50%) found this review helpful,False,0.813,2
redsncrimson,Posted March 20.,304410,1 of 1 people (100%) found this review helpful,True,0.9694,2
H1DD3NT3RR0R,"Posted February 27, 2014.",105600,2 of 3 people (67%) found this review helpful,True,0.9442,2
76561198071175142,"Posted July 7, 2015.",271590,0 of 1 people (0%) found this review helpful,True,0.6249,2
t8s,"Posted May 2, 2015.",730,1 of 1 people (100%) found this review helpful,True,0.743,2
pikawuu2,"Posted September 15, 2013.",12900,0 of 2 people (0%) found this review helpful,True,0.6369,2
Michaelele,"Posted June 30, 2014.",730,1 of 2 people (50%) found this review helpful,True,0.836,2
76561198048417105,"Posted February 27, 2015.",730,1 of 1 people (100%) found this review helpful,True,0.8126,2
jjas01,"Posted October 17, 2015.",218620,10 of 10 people (100%) found this review helpful,False,0.4926,2
3xotic26,"Posted February 26, 2014.",440,1 of 1 people (100%) found this review helpful,True,0.9805,2
iamthetrashlord,"Posted July 20, 2014.",213670,No ratings yet,True,0.8519,2
Forty-Nine,Posted January 11.,376300,7 of 24 people (29%) found this review helpful,False,0.9325,2
76561198051017916,"Posted May 26, 2014.",250600,No ratings yet,True,0.0,1
L4M1NAS,Posted March 25.,437220,0 of 1 people (0%) found this review helpful,True,0.9633,2
76561198084542731,"Posted February 16, 2014.",47790,No ratings yet,True,0.0,1
mrpfresh,"Posted October 16, 2015.",346110,1 of 2 people (50%) found this review helpful,True,0.6808,2
GamerFag,"Posted January 27, 2011.",70,No ratings yet,True,-0.6486,0
EHS-R3AP3R,"Posted October 15, 2015.",349700,2 of 6 people (33%) found this review helpful,True,0.8591,2
chidori_647,"Posted March 5, 2014.",213670,3 of 6 people (50%) found this review helpful,True,0.7906,2
76561198092227136,"Posted May 26, 2014.",1250,No ratings yet,True,0.0,1
Allahu_Akbar666,"Posted October 24, 2014.",304930,No ratings yet,False,-0.0516,1
ulramite,"Posted February 8, 2014.",248860,0 of 1 people (0%) found this review helpful,True,-0.7783,0
-GM-Dragon,"Posted June 10, 2015.",244850,No ratings yet,True,0.9694,2
76561198078799606,"Posted June 29, 2015.",730,No ratings yet,True,0.352,2
I_DID_911_JUST_SAYING,Posted June 26.,365670,No ratings yet,True,0.3612,2
750805,Posted May 6.,91310,3 of 11 people (27%) found this review helpful,False,-0.8537,0
diabeticfuck,"Posted December 28, 2015.",419070,No ratings yet,True,0.0,1
76561198054465623,"Posted January 4, 2014.",24240,2 of 3 people (67%) found this review helpful,True,0.8965,2
aaropro,Posted June 8.,221100,1 of 12 people (8%) found this review helpful,True,0.9118,2
FrankoWalker,"Posted December 6, 2014.",260410,2 of 5 people (40%) found this review helpful,True,0.0,1
LightfootSword7,Posted March 6.,383870,No ratings yet,True,0.9853,2
SALTTHEW0UND,"Posted August 28, 2014.",730,1 of 1 people (100%) found this review helpful,True,0.6249,2
76561198074644990,"Posted February 6, 2015.",207230,0 of 1 people (0%) found this review helpful,True,0.6249,2
TomoeMamiewe,Posted June 24.,4000,No ratings yet,True,0.0,1
Acidius99,Posted June 3.,292030,2 of 3 people (67%) found this review helpful,True,0.7579,2
acorn13,"Posted July 12, 2012.",34330,1 of 1 people (100%) found this review helpful,True,0.3875,2
AddzyTheBaddzy,"Posted December 16, 2013.",259080,1 of 2 people (50%) found this review helpful,True,0.9001,2
mrfunkyjunkie,"Posted November 23, 2014.",256350,0 of 1 people (0%) found this review helpful,True,0.4404,2
76561198167207237,"Posted December 25, 2015.",391540,No ratings yet,True,0.0,1
76561198073508075,Posted January 22.,251570,1 of 5 people (20%) found this review helpful,True,-0.5574,0
76561198074323290,Posted August 21.,251060,0 of 5 people (0%) found this review helpful,False,0.0,1
advenger95,"Posted September 2, 2015.",307690,No ratings yet,True,0.8928,2
Agronoth,"Posted April 24, 2015.",221640,0 of 1 people (0%) found this review helpful,True,0.743,2
UnholyFallenAngel,"Posted December 22, 2015.",222940,3 of 3 people (100%) found this review helpful,True,0.5267,2
76561198068565589,"Posted July 18, 2015.",286570,1 of 7 people (14%) found this review helpful,True,0.8479,2
NaruseAiria,"Posted October 15, 2014.",108600,No ratings yet,True,0.3612,2
76561198067713802,"Posted March 28, 2015.",304930,No ratings yet,True,0.7003,2
76561198044678148,Posted July 5.,472680,No ratings yet,True,0.9104,2
alansiulun,"Posted May 21, 2015.",265930,No ratings yet,True,0.4404,2
Albolah,"Posted October 18, 2015.",440,1 of 1 people (100%) found this review helpful,True,0.4703,2
76561198003056556,"Posted August 15, 2014.",233720,No ratings yet,True,0.3134,2
maxpaynepillkiller,"Posted December 30, 2015.",12120,9 of 11 people (82%) found this review helpful,True,0.0,1
AlkalineDeath,"Posted October 16, 2014.",240760,No ratings yet,True,0.9049,2
76561198075935236,"Posted August 27, 2015.",250900,No ratings yet,True,0.4404,2
AlpacaRevolution,"Posted October 2, 2014.",212680,1 of 2 people (50%) found this review helpful,True,0.9932,2
76561198071952798,Posted January 14.,265930,0 of 2 people (0%) found this review helpful,False,-0.7269,0
76561198016753953,"Posted January 27, 2014.",570,No ratings yet,True,0.0,1
smegmyfoodle,"Posted January 22, 2015.",239250,No ratings yet,True,0.8063,2
lol_ursuchanoob,"Posted April 17, 2014.",12210,No ratings yet,True,0.934,2
AMV72,"Posted September 27, 2012.",209100,2 of 3 people (67%) found this review helpful,False,-0.9569,0
76561198085956238,Posted February 3.,242860,0 of 2 people (0%) found this review helpful,False,-0.7096,0
76561198132540690,"Posted March 5, 2015.",220200,No ratings yet,True,0.6369,2
711armageddoncarmageddon,"Posted July 3, 2015.",105600,No ratings yet,True,0.0,1
76561198069560699,"Posted December 16, 2013.",259080,0 of 1 people (0%) found this review helpful,True,0.8996,2
76561198099625419,"Posted May 8, 2014.",200260,No ratings yet,True,0.0,1
76561198084032274,"Posted September 29, 2014.",236390,No ratings yet,False,0.8625,2
Angrovar,"Posted November 11, 2015.",359320,5 of 9 people (56%) found this review helpful,True,0.0,1
AngryAinsley,"Posted August 1, 2015.",253030,No ratings yet,True,0.6087,2
uradumbtit,"Posted August 4, 2014.",4000,No ratings yet,True,0.872,2
ApexNZ,"Posted May 9, 2014.",202170,0 of 1 people (0%) found this review helpful,True,0.0772,1
76561198039441595,"Posted January 23, 2015.",319510,0 of 4 people (0%) found this review helpful,False,0.4404,2
benjamin27,"Posted July 19, 2014.",244850,1 of 1 people (100%) found this review helpful,True,0.7351,2
AppoGetsSuperAdmin,"Posted August 29, 2015.",570,No ratings yet,False,0.0772,1
76561198049916759,"Posted September 11, 2015.",293260,No ratings yet,True,0.6478,2
XABLAUziitu,"Posted October 17, 2015.",105600,No ratings yet,True,0.0,1
76561198040530605,Posted March 4.,386070,4 of 10 people (40%) found this review helpful,True,0.8807,2
76561197974500703,"Posted June 17, 2012.",31270,No ratings yet,True,0.743,2
76561198047185525,"Posted June 27, 2014.",218620,No ratings yet,True,-0.34,0
bilyitu,"Posted September 8, 2014.",730,No ratings yet,True,-0.0516,1
armouredmarshmallow,Posted March 27.,239200,1 of 1 people (100%) found this review helpful,True,0.2023,2
Array71,"Posted June 24, 2014.",244850,No ratings yet,True,0.8481,2
Mackus1011,"Posted August 31, 2015.",380600,1 of 3 people (33%) found this review helpful,True,0.6486,2
76561198041877981,"Posted February 28, 2014.",241540,No ratings yet,True,0.3612,2
darkmassieh,Posted July 20.,377160,2 of 3 people (67%) found this review helpful,True,0.0,1
asianturtlefrenzy,"Posted December 27, 2015.",289130,1 of 1 people (100%) found this review helpful,True,0.7003,2
blowjobsfurdayzandgayz,Posted July 12.,304050,0 of 6 people (0%) found this review helpful,False,-0.0516,1
76561198082992295,"Posted May 28, 2014.",570,1 of 1 people (100%) found this review helpful,True,0.765,2
assassin_warman,"Posted June 25, 2015.",72850,3 of 3 people (100%) found this review helpful,True,-0.3612,0
Astrelt,"Posted October 10, 2014.",252630,9 of 12 people (75%) found this review helpful,True,0.5248,2
omgihaveawebpage,Posted March 11.,223470,No ratings yet,True,0.7964,2
Swish0009,"Posted June 22, 2014.",203160,2 of 3 people (67%) found this review helpful,True,0.8957,2
Aurora99,"Posted November 5, 2014.",730,2 of 2 people (100%) found this review helpful,True,0.0,1
76561198083375450,"Posted February 10, 2014.",113420,10 of 14 people (71%) found this review helpful,True,0.9022,2
auzmoz,"Posted June 2, 2014.",243870,1 of 1 people (100%) found this review helpful,True,0.91,2
76561198110293299,"Posted June 8, 2015.",346110,No ratings yet,True,0.6369,2
de_triggered,"Posted November 8, 2015.",268650,No ratings yet,True,0.0,1
Azrafael,Posted May 14.,379720,No ratings yet,True,0.0,1
bohgeraltofrivia,"Posted November 11, 2014.",261640,0 of 1 people (0%) found this review helpful,True,0.9984,2
TeH-B-Rad,"Posted April 9, 2015.",440,No ratings yet,True,0.34,2
BAW_Killer,"Posted December 13, 2015.",287700,1 of 2 people (50%) found this review helpful,False,0.4939,2
BBBirb,Posted July 12.,304050,0 of 1 people (0%) found this review helpful,True,0.0,1
crispymemesmantheyremyfavourite,"Posted December 22, 2015.",383980,No ratings yet,True,0.0,1
76561198076548816,Posted July 16.,304930,1 of 3 people (33%) found this review helpful,False,-0.5423,0
chillrend,"Posted December 2, 2015.",393010,0 of 3 people (0%) found this review helpful,True,0.9051,2
lukeyturley,Posted March 10.,247730,No ratings yet,False,0.0,1
BOB_200,Posted February 24.,434260,1 of 3 people (33%) found this review helpful,True,0.91,2
76561198069458790,"Posted May 15, 2014.",265630,1 of 2 people (50%) found this review helpful,True,0.0,1
76561198047208452,Posted January 22.,34900,No ratings yet,True,0.0,1
generalale,"Posted November 30, 2014.",220240,0 of 1 people (0%) found this review helpful,True,0.3612,2
brendoboy,"Posted September 5, 2014.",218620,1 of 3 people (33%) found this review helpful,False,0.0,1
76561198071234254,"Posted July 5, 2014.",238460,No ratings yet,True,0.6369,2
76561198165870150,Posted April 2.,730,1 of 1 people (100%) found this review helpful,True,0.6369,2
76561197988934555,Posted January 1.,290300,No ratings yet,True,0.4939,2
Infixation,"Posted May 6, 2015.",328220,13 of 20 people (65%) found this review helpful,True,0.9844,2
Ben_Andy,"Posted December 20, 2013.",105600,No ratings yet,True,0.3612,2
76561198067021476,Posted January 21.,242760,No ratings yet,True,0.0,1
76561198190487725,Posted January 16.,386360,No ratings yet,True,0.5267,2
Ahahahahahahahahahahahahahahaha,"Posted September 13, 2014.",570,3 of 5 people (60%) found this review helpful,False,0.3089,2
BITCHPLESE,Posted January 7.,252490,No ratings yet,False,0.8885,2
Too_1337,"Posted June 15, 2015.",4000,No ratings yet,True,0.5859,2
76561198007342405,Posted March 4.,730,1 of 2 people (50%) found this review helpful,False,-0.6597,0
IJustWantedToTalk,Posted May 13.,550,0 of 1 people (0%) found this review helpful,False,0.6906,2
mavros88,"Posted May 28, 2015.",288470,2 of 10 people (20%) found this review helpful,True,0.0,1
CHAAANG,"Posted September 23, 2015.",238320,No ratings yet,True,0.3612,2
76561198056980314,Posted May 25.,34330,1 of 2 people (50%) found this review helpful,True,0.9799,2
bitmat,"Posted July 11, 2013.",201420,No ratings yet,True,0.7089,2
Ghoster09,"Posted July 17, 2014.",570,No ratings yet,True,0.0,1
76561197988863895,"Posted December 28, 2015.",248820,No ratings yet,True,0.6249,2
76561198042728201,"Posted October 1, 2014.",202970,No ratings yet,True,0.296,2
76561198057521157,"Posted May 20, 2014.",251570,2 of 4 people (50%) found this review helpful,True,0.7184,2
76561198057389499,"Posted December 25, 2015.",252950,1 of 1 people (100%) found this review helpful,True,0.8658,2
76561198030735076,"Posted April 9, 2015.",339610,8 of 16 people (50%) found this review helpful,False,0.7226,2
Bluegills,"Posted August 6, 2014.",20530,No ratings yet,True,0.4404,2
76561197970931849,"Posted March 12, 2014.",204100,0 of 1 people (0%) found this review helpful,True,-0.5574,0
rrbr,"Posted January 21, 2015.",270370,No ratings yet,True,0.765,2
76561197999613236,"Posted October 25, 2015.",271590,1 of 4 people (25%) found this review helpful,True,0.6369,2
76561198062288797,"Posted July 9, 2015.",346010,No ratings yet,True,0.5849,2
bobseagull,"Posted May 7, 2014.",49520,1 of 1 people (100%) found this review helpful,True,-0.6705,0
76561198062403736,"Posted August 22, 2015.",218620,No ratings yet,True,0.0,1
76561198073642113,"Posted January 6, 2014.",218620,0 of 1 people (0%) found this review helpful,True,0.5994,2
76561198211433640,"Posted November 13, 2015.",730,No ratings yet,True,0.0,1
hididdlyhoe,Posted January 26.,252490,No ratings yet,True,-0.6597,0
76561198027225504,"Posted August 12, 2014.",218620,0 of 2 people (0%) found this review helpful,True,0.964,2
dicksoutforboromir,"Posted November 29, 2014.",48700,1 of 1 people (100%) found this review helpful,True,-0.9732,0
76561198007539695,"Posted March 29, 2014.",99400,2 of 5 people (40%) found this review helpful,False,-0.1796,0
76561198064026657,"Posted July 7, 2013.",1250,No ratings yet,True,0.7579,2
saint556,"Posted May 6, 2015.",340050,0 of 1 people (0%) found this review helpful,True,0.784,2
Brianseb,"Posted March 20, 2014.",440,No ratings yet,True,0.0,1
brocky0405,"Posted September 30, 2015.",48700,No ratings yet,True,0.9413,2
76561198046094676,"Posted September 23, 2013.",4560,No ratings yet,True,0.6705,2
Vladimirputinisgreatman,Posted March 28.,72850,No ratings yet,True,0.8225,2
76561198110065267,Posted February 20.,291550,No ratings yet,True,0.6124,2
76561198105270589,"Posted July 10, 2014.",304930,1 of 2 people (50%) found this review helpful,True,0.765,2
Trutle,"Posted June 21, 2014.",224760,No ratings yet,True,0.3182,2
BugsyBro,"Posted December 23, 2015.",6060,3 of 3 people (100%) found this review helpful,True,0.4404,2
Jyep,Posted January 24.,433340,No ratings yet,True,0.9682,2
76561198074561346,Posted April 29.,311690,1 of 1 people (100%) found this review helpful,True,-0.8151,0
76561198094074209,"Posted November 4, 2013.",226700,3 of 11 people (27%) found this review helpful,True,0.4588,2
BurningCassette,Posted August 16.,368360,2 of 4 people (50%) found this review helpful,True,0.9094,2
busternut,"Posted December 24, 2013.",224540,0 of 2 people (0%) found this review helpful,True,0.6249,2
76561198075981950,"Posted June 12, 2015.",570,No ratings yet,True,0.0,1
76561198079326390,"Posted May 11, 2015.",301520,No ratings yet,False,0.9697,2
76561198142749308,"Posted November 28, 2014.",298110,0 of 1 people (0%) found this review helpful,True,-0.5106,0
897w463824638109276,"Posted January 28, 2014.",440,No ratings yet,True,0.2732,2
ByzGirl,"Posted April 28, 2015.",239030,No ratings yet,True,0.9337,2
C14M8S,"Posted August 19, 2014.",620,2 of 4 people (50%) found this review helpful,True,0.3612,2
1122305938,"Posted January 10, 2014.",8870,2 of 2 people (100%) found this review helpful,True,0.5106,2
76561198069050565,"Posted November 14, 2014.",246280,3 of 11 people (27%) found this review helpful,False,0.0,1
Cabey64,"Posted June 24, 2014.",220200,1 of 1 people (100%) found this review helpful,True,0.6249,2
gusvu,"Posted October 13, 2014.",241930,No ratings yet,True,0.5859,2
Punixa,"Posted July 4, 2015.",374301,0 of 1 people (0%) found this review helpful,True,-0.4939,0
76561198081987102,Posted May 5.,394230,2 of 5 people (40%) found this review helpful,True,0.0,1
calii,Posted February 27.,292030,7 of 9 people (78%) found this review helpful,True,0.9276,2
camduman,Posted April 26.,413150,1 of 1 people (100%) found this review helpful,True,0.4019,2
aquelecaraqfazaquilo,"Posted June 19, 2015.",330840,1 of 3 people (33%) found this review helpful,True,0.0,1
76561197992910116,"Posted February 6, 2014.",259720,3 of 7 people (43%) found this review helpful,True,0.701,2
76561198008551473,"Posted January 10, 2015.",201810,No ratings yet,True,0.9796,2
76561198062276935,"Posted February 24, 2013.",730,2 of 2 people (100%) found this review helpful,True,0.9618,2
76561198048121243,"Posted February 5, 2014.",49520,No ratings yet,True,0.296,2
ConkerBirdy,Posted April 2.,433950,1 of 1 people (100%) found this review helpful,True,0.973,2
76561198070072786,"Posted April 3, 2014.",265930,No ratings yet,True,0.0,1
76561198067721589,Posted August 17.,275850,12 of 20 people (60%) found this review helpful,False,0.886,2
carouserwhite,"Posted July 19, 2015.",17520,No ratings yet,True,0.7783,2
76561198078670623,"Posted January 23, 2014.",4920,No ratings yet,True,-0.0018,1
Lord_Casso,"Posted July 11, 2015.",323370,0 of 1 people (0%) found this review helpful,True,0.9031,2
76561198045283919,"Posted March 7, 2015.",244410,0 of 1 people (0%) found this review helpful,True,0.0,1
76561198081438874,"Posted June 2, 2014.",31280,4 of 10 people (40%) found this review helpful,False,0.0,1
76561198072411281,"Posted January 18, 2015.",332800,No ratings yet,True,-0.7717,0
kggj,"Posted January 20, 2015.",219150,No ratings yet,True,0.0222,1
asdasdfsadgdfhfgjggj,"Posted May 5, 2014.",4000,0 of 1 people (0%) found this review helpful,True,0.7184,2
ElementalGodChaos,"Posted April 25, 2014.",39000,1 of 1 people (100%) found this review helpful,True,0.5574,2
melonmaniac,"Posted March 8, 2014.",440,1 of 2 people (50%) found this review helpful,True,0.6249,2
mexz1999,"Posted October 18, 2014.",221180,2 of 4 people (50%) found this review helpful,True,0.9698,2
IchMasKung,"Posted October 8, 2015.",227940,No ratings yet,False,-0.2584,0
HoxtonPleaseDontSueMe,"Posted August 16, 2014.",242760,1 of 1 people (100%) found this review helpful,True,-0.4767,0
76561198051215704,"Posted March 26, 2014.",8870,2 of 3 people (67%) found this review helpful,True,0.0,1
cheetahpocalypse,Posted January 29.,221100,0 of 3 people (0%) found this review helpful,True,-0.2732,0
chicken_tonight,"Posted November 18, 2015.",227940,2 of 5 people (40%) found this review helpful,True,-0.25,0
chidvd,"Posted February 22, 2011.",420,0 of 1 people (0%) found this review helpful,True,0.0,1
76561198056960847,"Posted June 22, 2014.",243870,No ratings yet,True,0.6327,2
76561198097450390,"Posted December 6, 2015.",4000,No ratings yet,True,0.0,1
aerpub,"Posted March 29, 2014.",236090,No ratings yet,True,0.9229,2
SmeshDoge,"Posted September 28, 2015.",218230,No ratings yet,True,0.3612,2
76561198062869989,"Posted December 19, 2013.",570,2 of 3 people (67%) found this review helpful,True,0.4404,2
harrisonnorris,"Posted June 25, 2015.",730,1 of 3 people (33%) found this review helpful,True,0.99,2
76561198142474106,"Posted December 7, 2015.",363620,3 of 6 people (50%) found this review helpful,False,0.7506,2
ciborg2000,"Posted August 11, 2015.",107410,3 of 3 people (100%) found this review helpful,True,-0.6705,0
76561198060510583,"Posted February 2, 2014.",440,No ratings yet,True,0.7579,2
Norf_Norf,"Posted June 1, 2014.",22380,7 of 9 people (78%) found this review helpful,True,0.0,1
76561198041840982,"Posted December 21, 2013.",4000,No ratings yet,True,0.0,1
76561198056339034,"Posted October 2, 2015.",292030,0 of 1 people (0%) found this review helpful,True,0.34,2
OfficialSenix,"Posted November 25, 2015.",417860,4 of 6 people (67%) found this review helpful,False,0.0631,1
mike14476,"Posted April 28, 2014.",200510,1 of 1 people (100%) found this review helpful,True,0.7845,2
kelby003,Posted September 8.,4000,0 of 1 people (0%) found this review helpful,True,-0.5511,0
76561198071207551,"Posted July 17, 2015.",105600,0 of 1 people (0%) found this review helpful,True,0.0772,1
76561198061039259,"Posted February 5, 2014.",208090,0 of 1 people (0%) found this review helpful,True,0.5859,2
76561198043339975,"Posted December 16, 2013.",203140,0 of 2 people (0%) found this review helpful,True,0.5106,2
69bmw,"Posted July 10, 2015.",440,No ratings yet,False,-0.743,0
76561198067414480,"Posted August 22, 2015.",218620,No ratings yet,True,0.6249,2
76561198078246064,"Posted January 8, 2015.",218230,1 of 2 people (50%) found this review helpful,True,0.8748,2
SirParadiseLost,"Posted June 7, 2015.",41700,No ratings yet,True,0.8992,2
SupermanSocks17,"Posted February 18, 2015.",325610,No ratings yet,True,0.6486,2
76561198061456632,"Posted December 23, 2015.",8930,No ratings yet,True,-0.9252,0
76561198049614185,"Posted February 27, 2014.",236390,0 of 1 people (0%) found this review helpful,True,0.6249,2
76561198046958203,Posted August 30.,275850,9 of 11 people (82%) found this review helpful,False,0.8591,2
76561198172099661,"Posted October 30, 2015.",4000,No ratings yet,True,0.9209,2
ConjuredMadness,"Posted November 4, 2014.",228180,3 of 9 people (33%) found this review helpful,True,0.5859,2
